Branco,519,Acrilica Fosca,255,255,255,#FFFFFF
Mineral,893,Acrilica Fosca,241,246,216,#F1F6D8
Creme,903,Acrilica Fosca,252,250,231,#FCFAE7
Saara,835,Acrilica Fosca,239,233,211,#EFE9D3
Pérola,892,Acrilica Fosca,255,251,221,#FFFBDD
Areia,817,Acrilica Fosca,246,223,204,#F6DFCC
Amarelo Bebê,808,Acrilica Fosca,250,247,185,#FAF7B9
Amarelo Limão,504,Acrilica Fosca,244,238,64,#F4EE40
Melão,895,Acrilica Fosca,251,177,70,#FBB146
Amarelo Ouro,505,Acrilica Fosca,254,186,18,#FEBA12
Amarelo Cádmio,536,Acrilica Fosca,247,155,56,#F79B38
Amarelo Ocre,564,Acrilica Fosca,223,146,72,#DF9248
Amêndoa,831,Acrilica Fosca,220,108,65,#DC6C41
Amarelo Pêssego,929,Acrilica Fosca,251,226,208,#FBE2D0
Salmão Bebê,812,Acrilica Fosca,253,227,218,#FDE3DA
Areia Rosada,929,Acrilica Fosca,242,179,156,#F2B39C
Salmão,518,Acrilica Fosca,246,157,129,#F69D81
Tangerina,801,Acrilica Fosca,244,120,65,#F47841
Cenoura,576,Acrilica Fosca,241,91,42,#F15B2A
Laranja,517,Acrilica Fosca,238,59,35,#EE3B23
Vermelho Vivo,541,Acrilica Fosca,231,51,43,#E7332B
Rosa Bebê,813,Acrilica Fosca,253,232,231,#FDE8E7
Rosa Cotton,894,Acrilica Fosca,248,197,195,#F8C5C3
Rosa Primavera,910,Acrilica Fosca,238,177,196,#EEB1C4
Rosa,537,Acrilica Fosca,249,191,197,#F9BFC5
Tutti Frutti,909,Acrilica Fosca,247,179,209,#F7B3D1
Rosa Escuro,542,Acrilica Fosca,237,155,181,#ED9BB5
Pink,527,Acrilica Fosca,242,128,154,#F2809A
Rosa Antigo,828,Acrilica Fosca,241,118,131,#F17683
Coral,586,Acrilica Fosca,236,91,86,#EC5B56
Fuchsia,804,Acrilica Fosca,205,44,112,#CD2C70
Goiaba Queimada,805,Acrilica Fosca,205,79,87,#CD4F57
Roma,827,Acrilica Fosca,213,46,59,#D52E3B
Vermelho Fogo,507,Acrilica Fosca,229,73,52,#E54934
Vermelho,555,Acrilica Fosca,213,42,43,#D52A2B
Vermelho Escarlate,508,Acrilica Fosca,172,47,51,#AC2F33
Púrpura,550,Acrilica Fosca,155,63,63,#9B3F3F
Terra Queimada,514,Acrilica Fosca,155,74,78,#9B4A4E
Cereja,826,Acrilica Fosca,151,56,60,#97383C
Arandano,914,Acrilica Fosca,148,66,76,#94424C
Vinho,565,Acrilica Fosca,104,50,70,#683246
Lilás,528,Acrilica Fosca,229,208,223,#E5D0DF
Orquídea,915,Acrilica Fosca,214,178,206,#D6B2CE
Rosa Ciclame,581,Acrilica Fosca,191,111,129,#BF6F81
Ameixa,913,Acrilica Fosca,135,73,97,#874961
Magenta,549,Acrilica Fosca,194,72,130,#C24882
Lilás Bebê,809,Acrilica Fosca,233,229,240,#E9E5F0
Lavanda,587,Acrilica Fosca,190,204,232,#BECCE8
Violeta Gris,916,Acrilica Fosca,150,142,171,#968EAB
Violeta,516,Acrilica Fosca,157,122,183,#9D7AB7
Roxo,918,Acrilica Fosca,117,105,166,#7569A6
Violeta Escuro,917,Acrilica Fosca,107,48,110,#6B306E
Violeta Cobalto,540,Acrilica Fosca,67,47,106,#432F6A
Azul Água,919,Acrilica Fosca,222,242,253,#DEF2FD
Azul Hortênsia,579,Acrilica Fosca,178,219,234,#B2DBEA
Azul Celeste,503,Acrilica Fosca,68,183,227,#44B7E3
Azul Bali,921,Acrilica Fosca,128,167,210,#80A7D2
Azul Country,825,Acrilica Fosca,143,164,202,#8FA4CA
Azul,559,Acrilica Fosca,44,118,183,#2C76B7
Azul Intenso,578,Acrilica Fosca,57,73,153,#394999
Azul Turquesa,501,Acrilica Fosca,63,84,132,#3F5484
Azul Seco,824,Acrilica Fosca,84,95,119,#545F77
Azul Marinho,544,Acrilica Fosca,55,71,113,#374771
Verde Soft,897,Acrilica Fosca,246,248,216,#F6F8D8
Verde Primavera,820,Acrilica Fosca,226,238,197,#E2EEC5
Verde Alecrim,898,Acrilica Fosca,214,228,127,#D6E47F
Verde Maçã,802,Acrilica Fosca,164,191,57,#A4BF39
Verde Pistache,570,Acrilica Fosca,156,164,71,#9CA447
Verde Folha,510,Acrilica Fosca,83,186,78,#53BA4E
Verde Grama,582,Acrilica Fosca,45,113,67,#2D7143
Verde Oliva,545,Acrilica Fosca,107,113,70,#6B7146
Verde Musgo,513,Acrilica Fosca,73,100,51,#496433
Verde Esmeralda,571,Acrilica Fosca,0,68,51,#004433
Verde Água,821,Acrilica Fosca,184,224,214,#B8E0D6
Turquesa,577,Acrilica Fosca,84,195,190,#54C3BE
Verde Country,822,Acrilica Fosca,14,161,139,#0EA18B
Acqua Marina,803,Acrilica Fosca,133,202,208,#85CAD0
