Rosa (ROSASOFT),SKU-32455,Top Colors,244,204,204,#F4CCCC
Branco (BRANCO),SKU-32407,Top Colors,255,255,255,#FFFFFF
Akaroa (COGUMELO),SKU-32713,Top Colors,212,196,168,#D4C4A8
Anzac (AMARELOOURO),SKU-32660,Top Colors,224,182,70,#E0B646
Apricot (SALMAO),SKU-32328,Top Colors,235,147,115,#EB9373
Bright Turquoise (VERDETURQUESA),SKU-32210,Top Colors,8,232,222,#08E8DE
Brink Pink (ROSABONECA),SKU-32220,Top Colors,251,96,127,#FB607F
Cameo (DESERTO),SKU-32431,Top Colors,217,185,155,#D9B99B
Carousel Pink (ROSABOUQUET),SKU-32242,Top Colors,249,224,237,#F9E0ED
Cerise (MAGENTA),SKU-32656,Top Colors,218,50,135,#DA3287
Di Serria (CERAMICA),SKU-32447,Top Colors,219,153,94,#DB995E
Double Pearl Lusta (AMARELOMANTEIGA),SKU-32234,Top Colors,252,244,208,#FCF4D0
Ecru White (PEROLA),SKU-32442,Top Colors,245,243,229,#F5F3E5
Edgewater (PISTACHE),SKU-32221,Top Colors,200,227,215,#C8E3D7
Emerald (ALFACE),SKU-32452,Top Colors,80,200,120,#50C878
Galliano (MOSTARDA),SKU-32663,Top Colors,220,178,12,#DCB20C
Golden Grass (OCRE),SKU-32662,Top Colors,218,165,32,#DAA520
Gorse (AMARELOLUZ),SKU-32445,Top Colors,255,241,79,#FFF14F
Gum Leaf (VERDEANTIGO),SKU-32246,Top Colors,182,211,191,#B6D3BF
Hampton (GENGIBRE),SKU-36830,Top Colors,229,216,175,#E5D8AF
Honeysuckle (AMARELOLIMAO),SKU-32453,Top Colors,237,252,132,#EDFC84
Illusion (ROSAVIOLETA),SKU-32224,Top Colors,246,164,201,#F6A4C9
Jaffa (TANGERINA),SKU-32335,Top Colors,239,134,63,#EF863F
Jet Stream (VERDESOFT),SKU-32339,Top Colors,181,210,206,#B5D2CE
Mauve (HORTENSIA),SKU-32218,Top Colors,224,176,255,#E0B0FF
Melanie (AMETISTA),SKU-32233,Top Colors,228,194,213,#E4C2D5
Pigeon Post (AZULANTIGO),SKU-32250,Top Colors,175,189,217,#AFBDD9
Polo Blue (AZULOCEANIC),SKU-32248,Top Colors,141,168,204,#8DA8CC
Prelude (LILAS),SKU-32208,Top Colors,208,192,229,#D0C0E5
Radical Red (LACAROSA),SKU-32332,Top Colors,255,53,94,#FF355E
Raffia (PELE),SKU-32449,Top Colors,234,218,184,#EADAB8
Reef (SEMENTE),SKU-32249,Top Colors,201,255,162,#C9FFA2
Rob Roy (AMARELOINDIANO),SKU-32338,Top Colors,234,198,116,#EAC674
Robin's Egg Blue (AZULPISCINA),SKU-33782,Top Colors,0,204,204,#00CCCC
Shilo (ROSAPETALA),SKU-32237,Top Colors,232,185,179,#E8B9B3
Snow Flurry (MACAVERDE),SKU-32212,Top Colors,228,255,209,#E4FFD1
Sorrell Brown (CORTICA),SKU-32336,Top Colors,206,185,143,#CEB98F
Stark White (TRIGO),SKU-32443,Top Colors,229,215,189,#E5D7BD
Tamarillo (VERMELHO),SKU-32243,Top Colors,153,22,19,#991613
