Branco,301,Decorfix Fosca,255,255,255,#FFFFFF
Branco Gelo,491,Decorfix Fosca,243,243,243,#F3F3F3
Porcelana,490,Decorfix Fosca,249,246,227,#F9F6E3
Areia,311,Decorfix Fosca,232,223,199,#E8DFC7
Pérola,421,Decorfix Fosca,255,252,223,#FFFCDF
Amarelo Pele,306,Decorfix Fosca,255,226,170,#FFE2AA
Salmão Bebê,473,Decorfix Fosca,253,229,216,#FDE5D8
Camurça,347,Decorfix Fosca,242,211,130,#F2D382
Amarelo Palha,303,Decorfix Fosca,252,244,179,#FCF4B3
Marfim,304,Decorfix Fosca,255,251,214,#FFFBD6
Amarelo Canário,428,Decorfix Fosca,255,248,169,#FFF8A9
Amarelo Bebê,472,Decorfix Fosca,255,249,181,#FFF9B5
Amarelo Primário,494,Decorfix Fosca,255,242,18,#FFF212
Amarelo Cádmio Claro,607,Decorfix Fosca,254,195,43,#FEC32B
Amarelo Ouro,308,Decorfix Fosca,255,221,33,#FFDD21
Amarelo Cádmio,307,Decorfix Fosca,254,195,43,#FEC32B
Laranja Brilhante,478,Decorfix Fosca,228,94,53,#E45E35
Laranja,309,Decorfix Fosca,228,94,53,#E45E35
Tangerina,482,Decorfix Fosca,228,94,53,#E45E35
Laranja Cádmio,608,Decorfix Fosca,237,50,55,#ED3237
Pêssego,344,Decorfix Fosca,249,180,141,#F9B48D
Vermelho Vivo,356,Decorfix Fosca,237,50,55,#ED3237
Goiaba Queimada,481,Decorfix Fosca,241,93,75,#F15D4B
Vermelho Fogo,313,Decorfix Fosca,241,93,75,#F15D4B
Vermelho Tomate,357,Decorfix Fosca,219,53,58,#DB353A
Vermelho Escarlate,437,Decorfix Fosca,225,49,57,#E13139
Púrpura,359,Decorfix Fosca,199,47,144,#C72F90
Cereja,420,Decorfix Fosca,202,55,60,#CA373C
Rosa Bebê,474,Decorfix Fosca,249,193,203,#F9C1CB
Rosa Primavera,349,Decorfix Fosca,248,184,198,#F8B8C6
Rosa Chá,342,Decorfix Fosca,249,186,167,#F9BAA7
Maravilha,346,Decorfix Fosca,238,67,106,#EE436A
Tutti-Frutti,487,Decorfix Fosca,223,167,188,#DFA7BC
Rosa Antigo,340,Decorfix Fosca,245,145,123,#F5917B
Rosa Escuro,338,Decorfix Fosca,158,71,112,#9E4770
Laca Rosa,355,Decorfix Fosca,223,96,163,#DF60A3
Rosa Pink,445,Decorfix Fosca,201,51,128,#C93380
Magenta Primário,489,Decorfix Fosca,197,36,122,#C5247A
Rosa Ciclame,343,Decorfix Fosca,221,168,204,#DDA8CC
Vinho,314,Decorfix Fosca,137,52,135,#893487
Arandano,485,Decorfix Fosca,101,46,76,#652E4C
