Pearl,2000,Acrylic Color Game,155,147,134,#9B9386
Light Yellow,2001,Acrylic Color Game,232,172,34,#E8AC22
Peach,2002,Acrylic Color Game,231,133,60,#E7853C
Deep Orange,2003,Acrylic Color Game,233,81,36,#E95124
Eletric Crimson,2004,Acrylic Color Game,205,36,62,#CD243E
Pyrrole Red,2005,Acrylic Color Game,154,27,31,#9A1B1F
Deep Red,2006,Acrylic Color Game,118,16,18,#761012
Yellow Green,2007,Acrylic Color Game,133,189,65,#85BD41
Light Green,2008,Acrylic Color Game,0,99,54,#006336
Viridian Green,2009,Acrylic Color Game,0,42,30,#002A1E
Deep Violet,2010,Acrylic Color Game,37,32,90,#25205A
Deep Blue,2011,Acrylic Color Game,30,61,118,#1E3D76
Turquoise,2012,Acrylic Color Game,12,30,67,#0C1E43
Deep Brown,2013,Acrylic Color Game,56,17,25,#381119
Salmon,2014,Acrylic Color Game,226,108,62,#E26C3E
Orange Yellow «Joker»,2015,Acrylic Color Game,244,187,25,#F4BB19
Jade «Joker»,2016,Acrylic Color Game,0,99,54,#006336
Fire Yellow «Joker»,2017,Acrylic Color Game,246,230,0,#F6E600
Red «Joker»,2018,Acrylic Color Game,237,28,36,#ED1C24
Light Sand,100,Acrylic Color Modelismo,178,163,140,#B2A38C
IAF Sand FS 33522,101,Acrylic Color Modelismo,202,190,157,#CABE9D
Medium Gray FS 36270,102,Acrylic Color Modelismo,117,124,131,#757C83
Buff,103,Acrylic Color Modelismo,193,177,123,#C1B17B
IDF Green FS 34227,104,Acrylic Color Modelismo,110,124,64,#6E7C40
IDF Light Blue FS 35622,105,Acrylic Color Modelismo,157,179,182,#9DB3B6
Medium Sea Grey - RAF,106,Acrylic Color Modelismo,115,124,129,#737C81
Ocean Grey - RAF,107,Acrylic Color Modelismo,75,86,97,#4B5661
Dark Green RAF,108,Acrylic Color Modelismo,46,53,23,#2E3517
Grey Green RAF (cockpit),109,Acrylic Color Modelismo,69,92,74,#455C4A
Raw Umber,110,Acrylic Color Modelismo,48,49,47,#30312F
Raw Siena,111,Acrylic Color Modelismo,101,71,56,#654738
Rust,112,Acrylic Color Modelismo,98,52,46,#62342E
Interior Green,113,Acrylic Color Modelismo,101,104,69,#656845
Rubber Black,114,Acrylic Color Modelismo,52,58,70,#343A46
Gunship Gray FS 36118,115,Acrylic Color Modelismo,67,79,94,#434F5E
Khaki,116,Acrylic Color Modelismo,116,107,91,#746B5B
German Fieldgrey,117,Acrylic Color Modelismo,77,79,70,#4D4F46
Zinc Chromate,118,Acrylic Color Modelismo,225,178,37,#E1B225
Track Primer,119,Acrylic Color Modelismo,63,34,20,#3F2214
Lime Green,120,Acrylic Color Modelismo,111,182,68,#6FB644
Leather Brown,121,Acrylic Color Modelismo,62,41,28,#3E291C
Camo Olive Green,122,Acrylic Color Modelismo,21,36,23,#152417
Jade URSS Cockpit,123,Acrylic Color Modelismo,0,102,96,#006660
Gull Gray FS 36440,124,Acrylic Color Modelismo,178,177,165,#B2B1A5
Dark Gull Gray FS 36231,125,Acrylic Color Modelismo,115,116,113,#737471
Chiping Brown RLM61,126,Acrylic Color Modelismo,38,31,16,#261F10
Russian Prime,127,Acrylic Color Modelismo,158,157,60,#9E9D3C
Duck Egg Green (sky),128,Acrylic Color Modelismo,183,189,109,#B7BD6D
Dark Yellow (German Tank),129,Acrylic Color Modelismo,149,136,50,#958832
Red Brown (German Tank),130,Acrylic Color Modelismo,68,42,43,#442A2B
Dark Green (German Tank),131,Acrylic Color Modelismo,31,53,25,#1F3519
Panzer Gray,132,Acrylic Color Modelismo,38,57,69,#263945
Schwarzgrau RLM66,133,Acrylic Color Modelismo,51,68,71,#334447
Grau Early RLM02,134,Acrylic Color Modelismo,104,121,98,#687962
