Azul Marshmallow,TCUP-25,Ultra Pigmentada,52,170,218,#34AADA
Azul Oceano,TCUP-19,Ultra Pigmentada,4,23,55,#041737
Azul do Charlie,TCUP-20,Ultra Pigmentada,40,61,166,#283DA6
Arara Azul,TCUP-15,Ultra Pigmentada,0,52,187,#0034BB
"Marrom ""Noz Moscada""",TCUP-17,Ultra Pigmentada,53,24,20,#351814
Roxo Puro,TCUP-21,Ultra Pigmentada,67,19,93,#43135D
Rosa Nina,TCUP-24,Ultra Pigmentada,244,48,94,#F4305E
Rosa Cessna,TCUP-23,Ultra Pigmentada,223,130,174,#DF82AE
"Marrom ""Pelo de Lobisomem""",TCUP-18,Ultra Pigmentada,58,31,22,#3A1F16
Escama do Boitatá,TCUP-14,Ultra Pigmentada,39,84,113,#275471
"Verde ""Couro da Cuca""",TCUP-13,Ultra Pigmentada,14,41,34,#0E2922
Verde Brasil,TCUP-12,Ultra Pigmentada,4,55,38,#043726
Verde do Duende,TCUP-11,Ultra Pigmentada,22,149,34,#169522
Vermelho Cabelo do Curupira,TCUP-10,Ultra Pigmentada,150,11,6,#960B06
Vermelho Gorro de Saci,TCUP-09,Ultra Pigmentada,199,13,34,#C70D22
Vermelho Beterraba,TCUP-08,Ultra Pigmentada,154,33,42,#9A212A
Vermelho Melancia,TCUP-07,Ultra Pigmentada,222,46,69,#DE2E45
Vermelho Flame,TCUP-06,Ultra Pigmentada,228,36,23,#E42417
Suco de Laranja,TCUP-05,Ultra Pigmentada,235,48,3,#EB3003
"Laranja ""Chama da Mula-Sem-Cabeça""",TCUP-04,Ultra Pigmentada,252,150,6,#FC9606
Amarelo Piquenique,TCUP-03,Ultra Pigmentada,221,178,4,#DDB204
Amarelo Helena,TCUP-02,Ultra Pigmentada,255,189,5,#FFBD05
ULTRA BRANCO,TCUP-16,Ultra Pigmentada,255,255,255,#FFFFFF
ULTRA PRETO,TCUP-22,Ultra Pigmentada,0,0,0,#000000
Amarelo Girassol,TCUP-01,Ultra Pigmentada,248,229,47,#F8E52F
